name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
BMW 5 Series,https://www.autotrader.co.uk,"£2,760",183000,,Manual,Diesel,3,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/bedfordshire/luton/gemen-motors-10017741,"£4,480",129000,,Automatic,Diesel,,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/surrey/woking/chobham-automotive-10030451,"£2,495",34000,,Automatic,Petrol,2,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/northamptonshire/peterborough/good-car-prices-10026575,"£2,995",133000,,Automatic,Diesel,3,Saloon,,2.5L,2005 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/leicestershire/leicester/kayman-motors-10022172,"£1,990",186000,,Manual,Diesel,,Estate,,2.0L,2005 (55 reg)
BMW 5 SERIES,https://www.autotrader.co.uk/dealers/berkshire/windsor/berkshire-sports-and-prestige-964986,"£4,450",145000,,Automatic,Diesel,,Saloon,,3.0L,2005 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£4,450",129576,,Automatic,Petrol,5,Saloon,ULEZ,3.0L,2005 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£3,900",140500,,Automatic,Petrol,4,Saloon,ULEZ,2.5L,2005 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/bedfordshire/luton/marsh-motors-10029121,"£3,790",104000,,Automatic,Diesel,,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/bedfordshire/luton/mab-autos-10024205,"£2,290",142100,,Automatic,Petrol,,Saloon,,2.2L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/derbyshire/derby/ctv-trading-ltd-169,"£3,990",72743,,Manual,Diesel,3,Saloon,,2.0L,2005 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/buckinghamshire/milton-keynes/auto-globe-limited-10008064,"£3,990",102000,,Automatic,Diesel,,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£3,600",199000,,Automatic,Diesel,3,Estate,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£2,000",149000,,Manual,Diesel,5,Saloon,,2.5L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£2,750",116565,,Automatic,Diesel,3,Saloon,,2.5L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£3,450",117300,,Automatic,Diesel,4,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/bedfordshire/luton/eama-limited-ta-mk-wheels-10002222,"£3,495",131520,,Automatic,Diesel,,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/bedfordshire/luton/shaws-cars-ltd-10034888,"£2,990",103800,,Automatic,Petrol,4,Saloon,,2.5L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/nottinghamshire/nottingham/ng9-motors-10020838,"£5,595",78900,,Automatic,Diesel,2,Estate,,2.5L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£4,890",138026,,Automatic,Diesel,3,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/lancashire/blackburn/stanley-moore-motors-ltd-10012257,"£2,995",140000,,Automatic,Diesel,,Saloon,,3.0L,2005 (53 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/berkshire/reading/tcs-thatcham-car-sales-10018407,"£4,990",145000,,Automatic,Diesel,,Estate,,3.0L,2005 (05 reg)
BMW 5 SERIES,https://www.autotrader.co.uk/dealers/dorset/poole/g-w-hall-son-ltd-10026076,"£3,995",151000,174,Automatic,Diesel,,Estate,,2.5L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/bristol/redfield/auto-elite-bristol-475380,"£4,495",79000,,Automatic,Diesel,,Estate,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/lancashire/preston/1st-choice-cars-10009458,"£3,495",124633,,Automatic,Diesel,3,Saloon,,2.5L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/lancashire/rochdale/mellor-street-garage-22431,"£2,295",148000,,Manual,Diesel,6,Saloon,,2.0L,2005 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£2,475",202390,,Automatic,Diesel,4,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£3,500",69204,,Manual,Diesel,,Estate,,2.5L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£4,995",133842,,Automatic,Diesel,2,Estate,,3.0L,2005 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/lancashire/blackburn/maple-motor-group-10033347,"£2,499",159000,,Manual,Diesel,,Saloon,,2.0L,2005 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£2,300",167000,,Automatic,Diesel,4,Saloon,,2.5L,
BMW 5 Series,https://www.autotrader.co.uk/dealers/county-down/ballygowan/e-flynn-car-sales-423564,"£2,500",160000,,Manual,Diesel,4,Saloon,,2.0L,
BMW 5 Series,https://www.autotrader.co.uk/dealers/west-midlands/dudley/midwest-performance-uk-limited-532043,"£2,250",225000,,Manual,Diesel,5,Saloon,,3.0L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/hertfordshire/barnet/sso-universal-autos-10023599,"£1,795",158672,,Manual,Petrol,2,Saloon,,2.2L,2005 (05 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/derbyshire/derby/c-f-vehicle-wholesale-limited-44942,"£4,295",85000,,Manual,Petrol,,Saloon,ULEZ,2.5L,2005 (55 reg)
