name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
BMW M3,https://www.autotrader.co.uk/dealers/middlesex/west-drayton/motor-shop-10019571,"£13,995",75000,338,Manual,Petrol,,Convertible,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk/dealers/bedfordshire/dunstable/ftr-performance-ltd-10016115,"£19,990",85000,338,Manual,Petrol,,Coupe,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk/dealers/middlesex/west-drayton/motor-shop-10019571,"£17,995",80000,338,Automatic,Petrol,,Coupe,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk,"£14,000",112500,,Manual,Petrol,5,Coupe,ULEZ,3.2L,2005 (54 reg)
BMW M3,https://www.autotrader.co.uk/dealers/west-sussex/horsham/james-paul-17691,"£34,990",62000,325,Manual,Petrol,,Coupe,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk,"£16,000",113000,,Manual,Petrol,9,Coupe,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk/dealers/buckinghamshire/milton-keynes/binca-698041,"£14,809",95392,,Manual,Petrol,9,Coupe,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk,"£16,995",104500,,Manual,Petrol,5,Coupe,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk,"£28,000",97000,,Automatic,Petrol,5,Coupe,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk/dealers/leicestershire/leicester/smiths-sports-and-performance-10003724,"£28,495",59000,343,Manual,Petrol,,Convertible,,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk,"£20,000",74968,343,Automatic,Petrol,3,Convertible,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk/dealers/wiltshire/swindon/oaklands-autos-ltd-700780,"£12,850",98844,343,Automatic,Petrol,,Convertible,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk,"£17,999",112000,343,Automatic,Petrol,5,Convertible,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk/dealers/west-sussex/horsham/james-paul-17691,"£29,990",31000,343,Manual,Petrol,,Convertible,,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk,"£20,500",101500,343,Manual,Petrol,5,Convertible,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk,"£14,150",109000,343,Manual,Petrol,,Convertible,,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk/dealers/bedfordshire/sandy/my-next-car-10002884,"£25,000",52000,338,Automatic,Petrol,2,Convertible,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk,"£24,995",106000,,Manual,Petrol,,Coupe,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk,"£32,950",40500,343,Manual,Petrol,,Convertible,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk,"£25,950",91000,,Manual,Petrol,,Coupe,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk/dealers/cheshire/stockport/select-motor-company-10013482,"£13,995",100000,343,Manual,Petrol,9,Convertible,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk/dealers/west-yorkshire/normanton/elite-motors-136890,"£18,990",86000,343,Automatic,Petrol,,Convertible,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk/dealers/lancashire/manchester/motorvana-10024200,"£19,995",94700,338,Automatic,Petrol,,Convertible,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk,"£22,990",79003,,Automatic,Petrol,2,Coupe,,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk/dealers/ilex-car-sales-ltd-10030759,"£25,995",66000,,Manual,Petrol,,Coupe,,3.2L,
BMW M3 CS COUPE,https://www.autotrader.co.uk/dealers/county-down/bangor/j-hair-motors-482979,"£26,950",96000,325,Manual,Petrol,,Coupe,ULEZ,3.2L,
BMW M3,https://www.autotrader.co.uk/dealers/west-yorkshire/leeds/cramag-3095,"£27,995",67000,,Manual,Petrol,,Coupe,ULEZ,3.2L,2005 (55 reg)
BMW M3,https://www.autotrader.co.uk,"£11,000",106000,343,Manual,Petrol,2,Convertible,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk/dealers/merseyside/wirral/woods-of-wirral-motor-company-trading-standards-approved-dealership-343641,"£27,933",76000,338,Manual,Petrol,,Coupe,ULEZ,3.2L,2005 (05 reg)
BMW M3,https://www.autotrader.co.uk/dealers/west-yorkshire/keighley/motorhub-745504,"£13,989",131000,,Manual,Petrol,,Coupe,ULEZ,3.2L,2005 (54 reg)
BMW M3,https://www.autotrader.co.uk/dealers/surrey/camberley/taylor-trading-156189,"£16,500",83000,343,Automatic,Petrol,,Convertible,ULEZ,3.2L,2005 (55 reg)
